                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0009,                 1.4478,                0.95958,                0.95285,                0.96735,                 0.9736,                 0.6932,                 1.0026,                0.99062,                0.93741,               0.003312,               0.003312,               0.003312
                      2,                 1.0121,                0.85125,                0.95233,                 0.9638,                0.97413,                0.97854,                0.67854,                 1.0655,                0.72513,                0.95826,              0.0066321,              0.0066321,              0.0066321
                      3,                 1.0477,                0.76434,                0.96338,                0.96977,                 0.9586,                0.97884,                0.67629,                 1.0717,                0.68192,                0.99084,              0.0099391,              0.0099391,              0.0099391
                      4,                 1.0512,                0.69244,                0.97482,                0.94782,                0.96766,                0.97445,                0.69966,                 1.0077,                 0.6117,                0.97498,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0401,                0.61322,                0.97361,                0.95976,                  0.972,                 0.9818,                0.69228,                 1.0039,                0.58801,                 0.9787,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.0085,                0.57393,                0.96678,                0.96799,                0.96572,                0.98672,                0.70766,                 1.0079,                 0.5275,                0.97132,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.0092,                0.55795,                0.97495,                0.96615,                0.97219,                0.98726,                0.70731,                 1.0136,                0.51623,                0.97609,               0.009901,               0.009901,               0.009901
                      8,                0.98353,                0.53612,                0.96007,                0.97112,                 0.9696,                0.98653,                0.71491,                 1.0138,                0.50162,                0.97137,              0.0098812,              0.0098812,              0.0098812
                      9,                0.99899,                0.53241,                0.96937,                0.96483,                0.97598,                0.98654,                0.70485,                 1.0136,                0.50582,                0.98277,              0.0098614,              0.0098614,              0.0098614
                     10,                0.97144,                0.52369,                  0.967,                0.97126,                0.96054,                0.98618,                0.72146,                 1.0005,                0.50234,                0.96997,              0.0098416,              0.0098416,              0.0098416
                     11,                0.97129,                0.50746,                0.96305,                0.94456,                0.96975,                0.97738,                0.71127,                0.99903,                0.50261,                0.98425,              0.0098218,              0.0098218,              0.0098218
                     12,                0.95237,                0.49564,                0.95881,                0.95861,                0.97865,                0.98711,                0.73092,                0.97411,                0.47087,                0.97161,               0.009802,               0.009802,               0.009802
                     13,                0.95408,                0.49263,                0.96762,                 0.9684,                0.97413,                  0.987,                0.73647,                0.98662,                0.44961,                0.97478,              0.0097822,              0.0097822,              0.0097822
